Fat,Protein,Carbs,Calories
22.0,7.0,49.0,412.2541615111352
16.0,9.0,66.0,432.45596369149115
17.0,8.0,42.0,345.5929974465085
27.0,4.0,49.0,444.10461679539077
12.0,10.0,68.0,408.9474536393199
11.0,7.0,68.0,388.0160308431358
3.0,13.0,47.0,261.74583952587966
21.0,10.0,45.0,400.3224363550029
8.0,9.0,36.0,247.56121180963132
14.0,17.0,56.0,409.0475478272157
29.0,6.0,61.0,515.5957706761207
23.0,8.0,65.0,486.17270993192466
37.0,5.0,55.0,559.0230108564152
16.0,9.0,72.0,455.3597465797459
14.0,5.0,73.0,425.40382687949403
16.0,7.0,72.0,447.270117835672
0.0,0.0,85.0,327.82960527479287
17.0,7.0,67.0,436.98061177553296
16.0,11.0,64.0,432.9109981394802
44.0,3.0,50.0,593.4257541326419
0.0,0.0,65.0,251.48366231394382
26.0,17.0,52.0,499.34211539592513
5.0,13.0,78.0,397.6760104753423
33.0,9.0,52.0,528.5624581801425
31.0,61.0,0.0,522.7993944677094
31.0,7.0,56.0,518.148058668092
34.0,8.0,52.0,533.3146234881789
17.0,10.0,67.0,449.1150548916438
3.0,11.0,81.0,383.4443138152492
3.0,8.0,82.0,375.1271678471809
4.0,9.0,80.0,380.3343676032062
17.0,6.0,66.0,429.1185002554536
32.0,14.0,45.0,513.2684703239569
24.0,8.0,63.0,487.33509531591307
3.0,2.0,88.0,373.76206450321394
3.0,0.0,90.0,373.3070300552249
31.0,8.0,56.0,522.1928730401288
8.0,5.0,77.0,387.89113739122416
21.0,6.0,64.0,456.6718246796617
30.0,4.0,64.0,527.7550130562474
34.0,4.0,60.0,547.6737431843707
9.0,2.0,80.0,396.005565399314
37.0,12.0,47.0,556.7983342763341
29.0,2.0,67.0,522.3202960762277
13.0,4.0,22.0,217.8798782772187
7.0,2.0,81.0,382.2289031872099
3.0,2.0,79.0,339.4063901708318
31.0,9.0,58.0,533.8722817082506
24.0,9.0,63.0,491.37990968795
0.0,0.0,93.0,358.3679824591325
10.0,2.0,77.0,393.35065363525996
19.0,4.0,68.0,446.2574251676112
0.0,0.0,99.0,381.27176534738715
0.0,0.0,98.0,377.4544681993448
0.0,0.0,94.0,362.1852796071749
26.0,7.0,65.0,508.51883460010765
27.0,7.0,64.0,513.4985171321383
23.0,8.0,63.0,478.53811563583986
0.0,2.0,81.0,320.6500454266969
22.0,12.0,60.0,474.4685019997869
23.0,8.0,66.0,489.9900070799672
2.0,3.0,19.0,105.61639598024831
16.0,4.0,77.0,454.2221604597734
30.0,5.0,62.0,524.1652331321994
34.0,13.0,50.0,545.9041010522786
24.0,0.0,74.0,496.96684896808455
30.0,4.0,63.0,523.9377159082051
16.0,12.0,64.0,436.9558125115171
16.0,12.0,66.0,444.590406807602
17.0,10.0,67.0,449.1150548916438
22.0,3.0,72.0,483.8727384279639
3.0,3.0,50.0,232.74958724963767
4.0,4.0,46.0,230.32219270957802
6.0,8.0,55.0,298.45108389025444
8.0,3.0,41.0,242.378811317622
19.0,8.0,68.0,462.4366826557589
4.0,13.0,43.0,255.27363061378315
14.0,7.0,74.0,437.3107527716104
11.0,2.0,26.0,207.46547876516803
4.0,1.0,31.0,160.9282923728304
0.0,4.0,16.0,80.61535954801134
1.0,7.0,16.0,101.54678234419544
